,APFC,MDPFC,RDPFC,LDPFC,IFC,RBA,LBA,PMC-SMA,M1,V2-V3,V1
APFC,,0.46490051590437476,0.6213933852739637,0.2346629272371023,0.026812015488337254,0.25087393274275277,0.2464511930041352,-0.0529796985425905,-0.040401346556707796,0.04382595938525265,0.04966106293529475
MDPFC,0.4649005159043747,,0.382351656771879,0.5820120957821642,0.34001042173417834,0.21964560391532142,0.5136051457064169,0.2594221155870144,0.25318065099889814,0.10735756692796132,0.061190709207845174
RDPFC,0.6213933852739636,0.38235165677187893,,0.17189243330009468,-0.0032339902909246793,0.3446576169300442,0.2136615044497875,-0.027950164557818333,-0.01885851990940643,0.04003176283631174,0.03684275351527759
LDPFC,0.23466292723710233,0.5820120957821642,0.17189243330009468,,0.4346638554789524,0.12279746904753211,0.5963794356117704,0.35599146836382456,0.33040516490140204,0.2706191292671656,0.18889707730820393
IFC,0.026812015488337244,0.34001042173417834,-0.003233990290924693,0.4346638554789524,,-0.030126159707845768,0.28983355937998145,0.6608738364543948,0.5524625346116665,0.22218498058180297,0.18439326508851242
RBA,0.2508739327427527,0.21964560391532142,0.34465761693004415,0.1227974690475321,-0.030126159707845768,,0.2914779631807952,-0.13500955013392324,-0.09618715822409224,-0.18932161797015357,-0.15950971843230102
LBA,0.2464511930041352,0.513605145706417,0.2136615044497875,0.5963794356117704,0.28983355937998145,0.2914779631807952,,0.1860086199284965,0.2517403662278537,0.22579183359720587,0.19935911124097264
PMC-SMA,-0.05297969854259049,0.2594221155870144,-0.027950164557818347,0.35599146836382456,0.6608738364543947,-0.13500955013392324,0.18600861992849646,,0.6559274802494877,0.3602253810680238,0.291809539564206
M1,-0.04040134655670779,0.25318065099889814,-0.01885851990940643,0.33040516490140204,0.5524625346116665,-0.09618715822409224,0.2517403662278537,0.6559274802494877,,0.4403748671774866,0.3448812286071582
V2-V3,0.04382595938525265,0.10735756692796133,0.04003176283631174,0.2706191292671656,0.22218498058180294,-0.18932161797015357,0.22579183359720584,0.3602253810680238,0.44037486717748653,,0.6502257220829053
V1,0.04966106293529475,0.061190709207845174,0.03684275351527759,0.1888970773082039,0.18439326508851242,-0.15950971843230102,0.1993591112409726,0.2918095395642061,0.3448812286071582,0.6502257220829054,
